# Run complete. Total time: 01:20:33

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt   Score    Error  Units
ArraysSort.Int.testSort                1000   SHUFFLE  avgt    4   0.022 ±  0.001  ms/op
ArraysSort.Int.testSort               10000    RANDOM  avgt    4   0.594 ±  0.006  ms/op
ArraysSort.Int.testSort               10000  REPEATED  avgt    4   0.050 ±  0.001  ms/op
ArraysSort.Int.testSort               10000   STAGGER  avgt    4   0.050 ±  0.001  ms/op
ArraysSort.Int.testSort               10000   SHUFFLE  avgt    4   0.278 ±  0.002  ms/op
ArraysSort.Int.testSort              100000    RANDOM  avgt    4   7.339 ±  0.049  ms/op
ArraysSort.Int.testSort              100000  REPEATED  avgt    4   0.491 ±  0.063  ms/op
ArraysSort.Int.testSort              100000   STAGGER  avgt    4   0.521 ±  0.002  ms/op
ArraysSort.Int.testSort              100000   SHUFFLE  avgt    4   2.736 ±  0.028  ms/op
ArraysSort.Int.testSort             1000000    RANDOM  avgt    4  88.494 ±  0.093  ms/op
ArraysSort.Int.testSort             1000000  REPEATED  avgt    4   3.392 ±  0.030  ms/op
ArraysSort.Int.testSort             1000000   STAGGER  avgt    4   5.237 ±  0.019  ms/op
ArraysSort.Int.testSort             1000000   SHUFFLE  avgt    4  27.714 ±  1.317  ms/op
ArraysSort.Long.testParallelSort        100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Long.testParallelSort        100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Long.testParallelSort        100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Long.testParallelSort        100   SHUFFLE  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Long.testParallelSort       1000    RANDOM  avgt    4   0.044 ±  0.001  ms/op
ArraysSort.Long.testParallelSort       1000  REPEATED  avgt    4   0.005 ±  0.001  ms/op
ArraysSort.Long.testParallelSort       1000   STAGGER  avgt    4   0.006 ±  0.001  ms/op
ArraysSort.Long.testParallelSort       1000   SHUFFLE  avgt    4   0.022 ±  0.001  ms/op
ArraysSort.Long.testParallelSort      10000    RANDOM  avgt    4   0.381 ±  0.004  ms/op
ArraysSort.Long.testParallelSort      10000  REPEATED  avgt    4   0.051 ±  0.002  ms/op
ArraysSort.Long.testParallelSort      10000   STAGGER  avgt    4   0.049 ±  0.001  ms/op
ArraysSort.Long.testParallelSort      10000   SHUFFLE  avgt    4   0.196 ±  0.003  ms/op
ArraysSort.Long.testParallelSort     100000    RANDOM  avgt    4   2.776 ±  0.031  ms/op
ArraysSort.Long.testParallelSort     100000  REPEATED  avgt    4   0.447 ±  0.002  ms/op
ArraysSort.Long.testParallelSort     100000   STAGGER  avgt    4   0.809 ±  0.078  ms/op
ArraysSort.Long.testParallelSort     100000   SHUFFLE  avgt    4   1.201 ±  0.007  ms/op
ArraysSort.Long.testParallelSort    1000000    RANDOM  avgt    4  29.819 ±  1.305  ms/op
ArraysSort.Long.testParallelSort    1000000  REPEATED  avgt    4   2.822 ±  0.052  ms/op
ArraysSort.Long.testParallelSort    1000000   STAGGER  avgt    4   4.388 ±  0.032  ms/op
ArraysSort.Long.testParallelSort    1000000   SHUFFLE  avgt    4  11.008 ±  0.159  ms/op
ArraysSort.Long.testSort                100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Long.testSort                100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Long.testSort                100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Long.testSort                100   SHUFFLE  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Long.testSort               1000    RANDOM  avgt    4   0.044 ±  0.001  ms/op
ArraysSort.Long.testSort               1000  REPEATED  avgt    4   0.005 ±  0.001  ms/op
ArraysSort.Long.testSort               1000   STAGGER  avgt    4   0.005 ±  0.001  ms/op
ArraysSort.Long.testSort               1000   SHUFFLE  avgt    4   0.022 ±  0.001  ms/op
ArraysSort.Long.testSort              10000    RANDOM  avgt    4   0.585 ±  0.007  ms/op
ArraysSort.Long.testSort              10000  REPEATED  avgt    4   0.048 ±  0.001  ms/op
ArraysSort.Long.testSort              10000   STAGGER  avgt    4   0.055 ±  0.001  ms/op
ArraysSort.Long.testSort              10000   SHUFFLE  avgt    4   0.263 ±  0.003  ms/op
ArraysSort.Long.testSort             100000    RANDOM  avgt    4   7.392 ±  0.070  ms/op
