--- Running JMH ---
ArraysSort: PARALLELISM = 3

...

# Run complete. Total time: 03:15:17

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt    Score    Error  Units
Main.Float.newSort                  1000000   STAGGER  avgt    4    7,997 ±  1,033  ms/op
Main.Float.newSort                  1000000   SHUFFLE  avgt    4   21,997 ±  0,426  ms/op

Main.Float.testSort                    1000    RANDOM  avgt    4    0,063 ±  0,001  ms/op
Main.Float.testSort                    1000  REPEATED  avgt    4    0,009 ±  0,001  ms/op
Main.Float.testSort                    1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Float.testSort                    1000   SHUFFLE  avgt    4    0,033 ±  0,001  ms/op
Main.Float.testSort                   10000    RANDOM  avgt    4    0,833 ±  0,008  ms/op
Main.Float.testSort                   10000  REPEATED  avgt    4    0,079 ±  0,001  ms/op
Main.Float.testSort                   10000   STAGGER  avgt    4    0,074 ±  0,002  ms/op
Main.Float.testSort                   10000   SHUFFLE  avgt    4    0,379 ±  0,003  ms/op
Main.Float.testSort                  100000    RANDOM  avgt    4   10,412 ±  0,116  ms/op
Main.Float.testSort                  100000  REPEATED  avgt    4    0,938 ±  0,012  ms/op
Main.Float.testSort                  100000   STAGGER  avgt    4    0,772 ±  0,021  ms/op
Main.Float.testSort                  100000   SHUFFLE  avgt    4    3,845 ±  0,060  ms/op
Main.Float.testSort                 1000000    RANDOM  avgt    4  122,152 ±  0,886  ms/op
Main.Float.testSort                 1000000  REPEATED  avgt    4    7,362 ±  0,222  ms/op
Main.Float.testSort                 1000000   STAGGER  avgt    4    7,925 ±  0,402  ms/op
Main.Float.testSort                 1000000   SHUFFLE  avgt    4   40,046 ±  0,515  ms/op


Main.Int.newParallelSort               1000    RANDOM  avgt    4    0,014 ±  0,001  ms/op
Main.Int.newParallelSort               1000  REPEATED  avgt    4    0,009 ±  0,001  ms/op
Main.Int.newParallelSort               1000   STAGGER  avgt    4    0,006 ±  0,001  ms/op
Main.Int.newParallelSort               1000   SHUFFLE  avgt    4    0,021 ±  0,001  ms/op
Main.Int.newParallelSort              10000    RANDOM  avgt    4    0,210 ±  0,046  ms/op
Main.Int.newParallelSort              10000  REPEATED  avgt    4    0,073 ±  0,006  ms/op
Main.Int.newParallelSort              10000   STAGGER  avgt    4    0,067 ±  0,007  ms/op
Main.Int.newParallelSort              10000   SHUFFLE  avgt    4    0,137 ±  0,029  ms/op
Main.Int.newParallelSort             100000    RANDOM  avgt    4    1,460 ±  0,034  ms/op
